transactionId,customerId,amount,timestamp,localHour,deviceId,deviceType,ipAddress,ipState,ipCountry,isProxyIP,browserType,paymentType,cardType,cvvResult,location,shippingCountry,billingCountry,merchant,transactionType,transactionMethod,digitalItemCount,physicalItemCount,accountCity,accountCountry,accountAge,isRegistered,recentRejects,isFraud
CBE31B92-8D8D-422D-BF1C-2883222AC68B,A1688853657869890,52.99,2013-04-03 16:30:29,10.0,unknown,Unknown,24.158,tennessee,us,False,Unknown,Unknown,Unknown,M,tennessee,,US,Unknown,P,,1,0,,US,1,FALSE,0,1
169212AC-3DBA-4EA6-A5AE-031C407DC3AA,A1688853657869890,52.99,2013-04-03 16:39:28,10.0,unknown,Unknown,24.158,tennessee,us,False,Unknown,Unknown,Unknown,M,tennessee,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
ABE168A6-3636-4202-9389-95E44E65881E,A1688853657869890,52.99,2013-04-03 16:53:56,10.0,unknown,Unknown,24.158,tennessee,us,False,Unknown,Unknown,Unknown,M,tennessee,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
C4F83897-54F9-4208-987E-DDE9D20F0B4B,A1688853657869890,52.99,2013-04-03 17:06:59,11.0,unknown,Unknown,24.158,tennessee,us,False,Unknown,Unknown,Unknown,M,tennessee,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
294A76D1-B583-432B-AA49-F32AA4974B94,A1829582519832190,59.99,2013-05-16 13:29:47,8.0,unknown,Unknown,184.2,north carolina,us,False,Unknown,Unknown,Unknown,M,north carolina,,US,Unknown,P,,1,0,,US,1,FALSE,0,1
0C044F40-9685-4113-882F-D605AAD744BE,A1829582519832190,59.99,2013-05-16 13:31:42,8.0,unknown,Unknown,184.2,north carolina,us,False,Unknown,Unknown,Unknown,M,north carolina,,US,Unknown,P,,1,0,,US,1,FALSE,0,1
72B7AED1-0944-4DE8-8BEF-74680BBAC3F1,A1829582519832190,59.99,2013-05-16 13:34:28,8.0,unknown,Unknown,184.2,north carolina,us,False,Unknown,Unknown,Unknown,M,north carolina,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
1901E38A-A427-4BA3-8C82-C9DB2B8C2735,A1829582519832190,59.99,2013-05-17 07:54:30,2.0,unknown,Unknown,71.81,georgia,us,False,Unknown,Unknown,Unknown,M,georgia,,US,Unknown,P,,1,0,,US,1,FALSE,0,1
EE72DD0F-F132-4E86-9CC5-9FB6386668A0,A1829582580775700,65.57,2013-04-03 18:20:24,11.0,unknown,Unknown,71.223,arizona,us,False,Unknown,Unknown,Unknown,M,arizona,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
415F4169-0DE1-4D1D-B056-823D02BFEDF6,A1829582580775700,65.57,2013-04-03 18:30:45,11.0,unknown,Unknown,71.223,arizona,us,False,Unknown,Unknown,Unknown,M,arizona,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
9B5ACCF3-D278-48E9-867E-6027988CEA01,A1829582580775700,65.57,2013-04-03 19:03:33,12.0,unknown,Unknown,71.223,arizona,us,False,Unknown,Unknown,Unknown,M,arizona,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
8B065D0D-9FBB-4815-B341-DDA432223550,A1829582580775700,65.57,2013-04-03 19:14:25,12.0,unknown,Unknown,71.223,arizona,us,False,Unknown,Unknown,Unknown,M,arizona,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
C1399C61-74D6-40B3-8289-AC99FAFF4988,A1829582580775700,65.57,2013-04-03 19:15:45,12.0,unknown,Unknown,71.223,arizona,us,False,Unknown,Unknown,Unknown,M,arizona,,US,Unknown,P,,1,0,,US,1,FALSE,0,0
